Производитель,Группа товаров,Подгруппа товаров,Категория,Артикул,Изображение,Наименование,Цвет,Размер,Состав,Количество,Единица измерения,Цена продажи (грн),Описание ,Стиль,,,,,,,
DomeDeco,Мебель,Кабинет, Гостинная, Ванная,Пуфы,F14-T16/BR (m/p),F14-T16 BR.jpg,Пуф  СП,коричневый,,,1,0,шт,6000,0,,современный,,,
BLOOMINGVILE,Мебель,Кабинет, Гостинная, Ванная,Пуфы,145105,145105.jpg,Пуф BL,синий,H30 X D60 CM,100% полиэстр ,1,0,шт,8505,0,пуф мягкий  из джинсовой ткани,классика,,,
DomeDeco,Мебель,Кабинет, Гостинная, Ванная,Пуфы,F4-T36/BL,F4-T36bl.JPG,"Пуф ""Coco"" DD",голубой,H45 X D40 CM,100% полиэстр ,2,0,шт,16538,0,пуф мягкий, круглый с металическим основанием,современный,,
DomeDeco,Мебель,Кабинет, Гостинная, Ванная,Пуфы,F4-T38/DBL,F4T38DBL.jpg,"Пуф ""Coco"" DD",синий,H45 X D40 CM,100% полиэстр ,1,0,шт,16538,0,пуф мягкий, круглый,с металическим основанием,современный,
DomeDeco,Мебель,Кабинет, Гостинная, Ванная,Пуфы,F4-T37/YE,F4-T37YE.JPG,"Пуф ""Euro"" DD",желтый, белый,H45 X D40 CM,100% полиэстр ,6,0,шт,16538,0,пуф мягкий, в середине с металлическим кольцом,современный,
DomeDeco,Мебель,Подушки,Пуфы,F4-T6/TU,groom stool.jpg,"Пуф ""Groom"" DD",бирюзовый,,100% вельвет,4,0,шт,7087,50,пуф мягкий, квадратный,современный,,,,
DomeDeco,Мебель,Подушки,Пуфы,F4-T34/CA1292-030,F4T34CA1292030.jpg,"Пуф ""Pistoia"" DD",Желтый,H35 X D90 CM,100% полиэстр ,2,0,шт,40163,0,пуф мягкий, круглый,современный,,,,
DomeDeco,Мебель,Кабинет, Гостинная, Ванная,Пуфы,F4-T33/CA1293-082,F4T33CA1293082.jpg,"Пуф ""Punto"" DD",голубой,H45 X D50 CM,100% полиэстр ,2,0,шт,31658,0,пуф мягкий, круглый,современный,,
DomeDeco,Мебель,Кабинет, Гостинная, Ванная,Пуфы,F4-T39/BL,F4T39BL.jpg,"Пуф ""Euro"" DD",синий, серый,H45 X D40 CM,100% полиэстр ,1,0,шт,16538,0,пуф мягкий, круглый, в середине с металлическим кольцом,современный
DomeDeco,Мебель,Кабинет, Гостинная, Ванная,Пуфы,F4-T36/BE,F4T36BE.jpg,"Пуф ""Coco"" DD",бежевый,H45 X D40 CM,100% полиэстр ,1,0,шт,16538,0,пуф мягкий, круглый с металическим основанием,современный,,
DomeDeco,Мебель,Кабинет, Гостинная, Ванная,Пуфы,F4-T33/STS23,F4T33STS23.jpg,Пуф DD,белый,H40 X D75 CM,100% полиэстр ,1,0,шт,23625,0,пуф мягкий, круглый,современный,,
Jolipa,Мебель,Кабинет, Гостинная, Ванная,Пуфы,50122,50122.jpg,Пуф белый JLP,белый,H45 X D44 CM,100 % хлопок,3,0,шт,7576,0,пуф мягкий, круглый, пекированный,классика,
Jolipa,Мебель,Кабинет, Гостинная, Ванная,Пуфы,50126,50126.jpg,Пуф белый/голубой JLP,белый,голубой,H30 X D30 CM,хлопок, дерево,1,0,шт,3263,0,пуф мягкий, на деревянных ножках,классика
PR-INTERIORS,Мебель,Кабинет, Гостинная, Ванная,Пуфы,AGADIR FC-17,agadir.JPG,Пуф PR-INT,голубой джинс,H50 X D60 CM,100% хлопок,2,0,шт,6147,0,пуф мягкий, круглый, со строчкой,классика,
PR-INTERIORS,Мебель,Кабинет, Гостинная, Ванная,Пуфы,AGADIR FC-01,agadir.JPG,Пуф PR-INT,белый,H50 X D60 CM,100% хлопок,1,0,шт,6147,0,пуф мягкий, круглый, со строчкой,классика,
